hour_num,dow,mu,sigma,count
17,0,5.511421043956045,52.73355651546058,182
17,1,0.4007853296703299,24.09656875090186,182
17,2,-1.928946412087912,24.69885067279621,182
17,3,-2.312957532967033,19.672991079324824,182
17,4,-2.7170807322404373,26.913979571222466,183
17,5,1.826492174863388,31.91111485445269,183
17,6,-1.5952817267759565,29.34722593087799,183
18,0,1.2779055659340666,37.12429922080231,182
18,1,-1.9955465879120882,22.70823305511357,182
18,2,-1.3973298021978027,22.534764415301684,182
18,3,-4.444580307692307,19.251034716941863,182
18,4,-4.173256163934426,22.68582576830038,183
18,5,-1.5163554808743174,12.794477311686606,183
18,6,-3.61062849726776,23.49481534420931,183
19,0,7.551555884615384,99.60939123515824,182
19,1,-1.5844680604395602,35.60469834037782,182
19,2,-3.962050917582418,20.893797679932465,182
