datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable
6/1/2025 2:00:00 PM,6/1/2025 10:00:00 AM,Wind,1391,0.017,True
6/1/2025 1:00:00 PM,6/1/2025 9:00:00 AM,Coal,9446,0.116,False
6/1/2025 1:00:00 PM,6/1/2025 9:00:00 AM,Gas,27425,0.339,False
6/1/2025 1:00:00 PM,6/1/2025 9:00:00 AM,Hydro,1419,0.017,True
6/1/2025 1:00:00 PM,6/1/2025 9:00:00 AM,Multiple Fuels,3,0.000,False
6/1/2025 1:00:00 PM,6/1/2025 9:00:00 AM,Nuclear,31930,0.394,False
6/1/2025 1:00:00 PM,6/1/2025 9:00:00 AM,Oil,220,0.002,False
6/1/2025 1:00:00 PM,6/1/2025 9:00:00 AM,Other Renewables,557,0.006,True
6/1/2025 1:00:00 PM,6/1/2025 9:00:00 AM,Solar,8723,0.107,True
6/1/2025 1:00:00 PM,6/1/2025 9:00:00 AM,Storage,1,0.000,False
6/1/2025 1:00:00 PM,6/1/2025 9:00:00 AM,Wind,1143,0.014,True
6/1/2025 12:00:00 PM,6/1/2025 8:00:00 AM,Coal,9335,0.117,False
6/1/2025 12:00:00 PM,6/1/2025 8:00:00 AM,Gas,28232,0.356,False
6/1/2025 12:00:00 PM,6/1/2025 8:00:00 AM,Hydro,1401,0.017,True
6/1/2025 12:00:00 PM,6/1/2025 8:00:00 AM,Multiple Fuels,3,0.000,False
6/1/2025 12:00:00 PM,6/1/2025 8:00:00 AM,Nuclear,31900,0.402,False
6/1/2025 12:00:00 PM,6/1/2025 8:00:00 AM,Oil,222,0.002,False
6/1/2025 12:00:00 PM,6/1/2025 8:00:00 AM,Other Renewables,557,0.007,True
6/1/2025 12:00:00 PM,6/1/2025 8:00:00 AM,Solar,6177,0.077,True
6/1/2025 12:00:00 PM,6/1/2025 8:00:00 AM,Storage,1,0.000,False
6/1/2025 12:00:00 PM,6/1/2025 8:00:00 AM,Wind,1344,0.017,True
6/1/2025 11:00:00 AM,6/1/2025 7:00:00 AM,Coal,9172,0.119,False
6/1/2025 11:00:00 AM,6/1/2025 7:00:00 AM,Gas,28892,0.377,False
6/1/2025 11:00:00 AM,6/1/2025 7:00:00 AM,Hydro,1399,0.018,True
6/1/2025 11:00:00 AM,6/1/2025 7:00:00 AM,Multiple Fuels,3,0.000,False
6/1/2025 11:00:00 AM,6/1/2025 7:00:00 AM,Nuclear,31869,0.416,False
6/1/2025 11:00:00 AM,6/1/2025 7:00:00 AM,Oil,221,0.002,False
6/1/2025 11:00:00 AM,6/1/2025 7:00:00 AM,Other Renewables,559,0.007,True
6/1/2025 11:00:00 AM,6/1/2025 7:00:00 AM,Solar,2632,0.034,True
6/1/2025 11:00:00 AM,6/1/2025 7:00:00 AM,Storage,0,0.000,False
