datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable
6/4/2025 8:00:00 AM,6/4/2025 4:00:00 AM,Wind,4556,0.053,True
6/4/2025 7:00:00 AM,6/4/2025 3:00:00 AM,Coal,12032,0.141,False
6/4/2025 7:00:00 AM,6/4/2025 3:00:00 AM,Gas,34174,0.402,False
6/4/2025 7:00:00 AM,6/4/2025 3:00:00 AM,Hydro,1270,0.015,True
6/4/2025 7:00:00 AM,6/4/2025 3:00:00 AM,Multiple Fuels,242,0.002,False
6/4/2025 7:00:00 AM,6/4/2025 3:00:00 AM,Nuclear,31588,0.372,False
6/4/2025 7:00:00 AM,6/4/2025 3:00:00 AM,Oil,222,0.002,False
6/4/2025 7:00:00 AM,6/4/2025 3:00:00 AM,Other Renewables,489,0.005,True
6/4/2025 7:00:00 AM,6/4/2025 3:00:00 AM,Solar,28,0.000,True
6/4/2025 7:00:00 AM,6/4/2025 3:00:00 AM,Storage,0,0.000,False
6/4/2025 7:00:00 AM,6/4/2025 3:00:00 AM,Wind,4829,0.056,True
6/4/2025 6:00:00 AM,6/4/2025 2:00:00 AM,Coal,12219,0.140,False
6/4/2025 6:00:00 AM,6/4/2025 2:00:00 AM,Gas,35956,0.414,False
6/4/2025 6:00:00 AM,6/4/2025 2:00:00 AM,Hydro,1267,0.014,True
6/4/2025 6:00:00 AM,6/4/2025 2:00:00 AM,Multiple Fuels,309,0.003,False
6/4/2025 6:00:00 AM,6/4/2025 2:00:00 AM,Nuclear,31451,0.362,False
6/4/2025 6:00:00 AM,6/4/2025 2:00:00 AM,Oil,219,0.002,False
6/4/2025 6:00:00 AM,6/4/2025 2:00:00 AM,Other Renewables,495,0.005,True
6/4/2025 6:00:00 AM,6/4/2025 2:00:00 AM,Solar,28,0.000,True
6/4/2025 6:00:00 AM,6/4/2025 2:00:00 AM,Storage,0,0.000,False
6/4/2025 6:00:00 AM,6/4/2025 2:00:00 AM,Wind,4829,0.055,True
6/4/2025 5:00:00 AM,6/4/2025 1:00:00 AM,Coal,12331,0.140,False
6/4/2025 5:00:00 AM,6/4/2025 1:00:00 AM,Gas,36831,0.418,False
6/4/2025 5:00:00 AM,6/4/2025 1:00:00 AM,Hydro,1237,0.014,True
6/4/2025 5:00:00 AM,6/4/2025 1:00:00 AM,Multiple Fuels,312,0.003,False
6/4/2025 5:00:00 AM,6/4/2025 1:00:00 AM,Nuclear,31299,0.355,False
6/4/2025 5:00:00 AM,6/4/2025 1:00:00 AM,Oil,218,0.002,False
6/4/2025 5:00:00 AM,6/4/2025 1:00:00 AM,Other Renewables,498,0.005,True
6/4/2025 5:00:00 AM,6/4/2025 1:00:00 AM,Solar,28,0.000,True
6/4/2025 5:00:00 AM,6/4/2025 1:00:00 AM,Storage,0,0.000,False
6/4/2025 5:00:00 AM,6/4/2025 1:00:00 AM,Wind,5231,0.059,True
6/4/2025 4:00:00 AM,6/4/2025 12:00:00 AM,Coal,13502,0.150,False
6/4/2025 4:00:00 AM,6/4/2025 12:00:00 AM,Gas,37165,0.414,False
6/4/2025 4:00:00 AM,6/4/2025 12:00:00 AM,Hydro,1240,0.013,True
6/4/2025 4:00:00 AM,6/4/2025 12:00:00 AM,Multiple Fuels,327,0.003,False
6/4/2025 4:00:00 AM,6/4/2025 12:00:00 AM,Nuclear,31216,0.347,False
6/4/2025 4:00:00 AM,6/4/2025 12:00:00 AM,Oil,246,0.002,False
6/4/2025 4:00:00 AM,6/4/2025 12:00:00 AM,Other Renewables,500,0.005,True
6/4/2025 4:00:00 AM,6/4/2025 12:00:00 AM,Solar,28,0.000,True
6/4/2025 4:00:00 AM,6/4/2025 12:00:00 AM,Storage,0,0.000,False
6/4/2025 4:00:00 AM,6/4/2025 12:00:00 AM,Wind,5517,0.061,True
